"response_id","q1_1","q1_1_1_code","q1_1_2_code","q1_2","q1_2_1_code","q1_2_2_code","q1_3","q1_3_1_code","q1_3_2_code","q1_4","q1_4_1_code","q1_4_2_code","q1_5","q1_5_1_code","q1_5_2_code"
"R_30kFwpOzOrCTq3n","McDonald's","","","Walgreens","","","Walmart's","","","Targeted","","","Burger King","",""
"R_3O6yr5x4UuK1DjH","Friendlys","","","McDonald's","","","Wendys","","","Burger King","","","Subway","",""
"R_24dhsMJA7K3QaZR","Chick-fil-A","","1","McDonald’s","","","Burger king","","","Sonic","","","Wendys","",""
"R_1rNeDhrrCmZPAKr","None","","","","","","","","","","","","","",""
"R_2Cqfz2ju808i3An","Friday's","","","Uno","","","","","","","","","","",""
"R_31KHhBBn3rFLiJW","Baja Fresh","","","Panera","9","","Chick-Fil-A","","1","","","","","",""
"R_2pWSkNDk8Y3fa80","Denny's","","","Red Lobster","","","Penera","9","","","","","","",""
"R_2tEcQ4OESwF1yNb","Wendy’s","","","","","","","","","","","","","",""
"R_1Hofi7OEKsJIBg0","Illegal pete’s","","","Tokyo joes","","","Torchy’s tacos","","","Culvers","","","Firehouse subs","3",""
"R_b7xuQ4xFdLSWStj","applebee's","","","chiliis","","","","","","","","","","",""
"R_1FsJ5J12Ox3hz7X","Panera","9","","Applebees","","","Olive garden","","","Red lobster","","","","",""
"R_2bNJb37P0fwTt7N","none","","","","","","","","","","","","","",""
"R_tWgXwLZJ7K7cEpz","TGI Friday's","","","Denny's","","","","","","","","","","",""
"R_SB5of7xxtCL4otH","Panera","9","","Cozi","","","Mod pizza","","","","","","","",""
"R_3Nxtfn8PazUE2u2","Wendy's","","","McDonald's","","","Arby's","","","Five Guys","","","Taco Bell","","12"
"R_a5k2G84K9aSBcNr","None","","","","","","","","","","","","","",""
"R_UaxERHVV3vIiJ0t","Mission bbq","","","Panana bread","","9","Saladworks","","","Five guys","","","","",""
"R_25ABK33LpG47Dnu","Panda Express","","8","","","","","","","","","","","",""
"R_rfPw8EBLUwLMDjX","Applebees","","","","","","","","","","","","","",""
"R_6L6OsVqXnRsIgSd","Moulton’s market","","","Humble Joe’s","","","Pho street","","","Five guys","","","Chipotle","2",""
"R_9AfK3yGtiYTPqnf","Chilis","","","Outback","","","Chipotle","2","","","","","","",""
"R_xrTDbdmrbjZwLgl","Panera","9","","Chipotle","2","","Olgas","","","","","","","",""
"R_3xW9JSbHruf09Z7","Chipotle","2","","Qudoba","10","","Subway","","","Pai wai","","","Panda express","","8"
"R_2OO55bw7yng6H2e","Olive garden","","","Apple beez","","","","","","","","","","",""
"R_SUWwZfNVD4QfKBH","Apples Bees","","","TJI Friday","","","Panda Express","","8","","","","","",""
"R_RIxUaDxziF1Ywwh","Qdoba","10","","Subway","","","Taco Bell","","12","","","","","",""
"R_322CY4AXFdHYVOK","Texas road house","","","","","","","","","","","","","",""
"R_3Mrg9VylRtOuRhm","Red Robin","","","Chilis","","","Buffalo wild wings","","","Ihop","","","Waffle house","",""
"R_3KpcpydfVosWPJn","Taco Bell","","12","Subway","","","Qudoba","10","","Burger King","","","Wendys","",""
"R_1rl7OLarZRk6f1h","Panda Express","","8","Chicken N More","","","","","","","","","","",""
"R_AcyzXIHwwUbyhHj","denny's","","","applebee's","","","tgi friday","","","chilis","","","","",""
"R_1LhToBcwt9CggWk","Taco bell","","12","Kfc","","","Red Robin","","","","","","","",""
"R_2q1Kc4o1SeA7OvN","Pasta house","","","Olive garden","","","Pf chang","","","None","","","None","",""
"R_3P5Bjo8AYj3n3Rb","Wendys","","","McDonald's","","","Popeyes","","","Burger King","","","Applebees","",""
